,experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,job_category,adjusted_salary,salary_range
48,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,262000.0,Top
49,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,245000.0,Top
50,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,275300.0,Top
51,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,183500.0,Top
52,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,218500.0,Top
53,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,199098.0,Top
54,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,203300.0,Top
55,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,123600.0,mid
56,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,189110.0,Top
57,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,139000.0,mid
58,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Science,258750.0,Top
59,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Science,185000.0,Top
60,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,231500.0,Top
61,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,166000.0,high
62,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,172500.0,high
63,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,110500.0,mid
64,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,238000.0,Top
65,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,176000.0,high
66,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,237000.0,Top
67,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,201450.0,Top
68,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,309400.0,Top
69,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,159100.0,high
70,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,115000.0,mid
71,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,81500.0,low
72,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,237000.0,Top
73,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,201450.0,Top
74,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,280000.0,Top
75,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,210000.0,Top
76,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,280100.0,Top
77,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,168100.0,high
78,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,193500.0,Top
79,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,139000.0,mid
80,Mid/Intermediate level,Full-time,Asia,On-Site,Asia,LARGE,Data Science,65062.0,low
81,Senior,Full-time,Europe,Full-Remote,North America,MEDIUM,Machine Learning,150000.0,high
82,Mid/Intermediate level,Full-time,Asia,Full-Remote,Europe,SMALL,Other,69751.0,low
83,Entry level,Full-time,Asia,Half-Remote,Asia,LARGE,Other,319500.0,Top
84,Mid/Intermediate level,Full-time,Europe,Full-Remote,Europe,LARGE,Machine Learning,96578.0,low
85,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,185900.0,Top
86,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,129300.0,mid
87,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,225000.0,Top
88,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,175000.0,high
89,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,185000.0,Top
90,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,140000.0,high
91,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,48289.0,low
92,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,38631.0,low
93,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,105000.0,mid
94,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,70000.0,low
95,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,163196.0,high
96,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,145885.0,high
97,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,217000.0,Top
98,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,185000.0,Top
99,Senior,Full-time,North America,On-Site,North America,LARGE,Data Engineering,202800.0,Top
100,Senior,Full-time,North America,On-Site,North America,LARGE,Data Engineering,104300.0,mid
101,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
102,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,65000.0,low
103,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,165000.0,high
104,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,132300.0,mid
105,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,179170.0,high
106,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,94300.0,low
107,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,152500.0,high
108,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,116450.0,mid
109,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,247300.0,Top
110,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,133800.0,mid
111,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,203000.0,Top
112,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,133000.0,mid
113,Entry level,Full-time,North America,Half-Remote,North America,LARGE,Data Science,220000.0,Top
114,Entry level,Full-time,Europe,Full-Remote,Europe,SMALL,Machine Learning,61511.168000000005,low
115,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,150000.0,high
116,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,120000.0,mid
117,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,289800.0,Top
118,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,214000.0,Top
119,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,179820.0,high
120,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,143860.0,high
121,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Machine Learning,283200.0,Top
122,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Machine Learning,188800.0,Top
123,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,289800.0,Top
124,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,214200.0,Top
125,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,185900.0,Top
126,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,129300.0,mid
127,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,252000.0,Top
128,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,129000.0,mid
129,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Management,155000.0,high
130,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Management,140000.0,high
131,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,161800.0,high
132,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,141600.0,high
133,Senior,Full-time,North America,On-Site,North America,LARGE,Machine Learning,342300.0,Top
134,Senior,Full-time,North America,On-Site,North America,LARGE,Machine Learning,176100.0,high
135,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,100000.0,low
136,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,70000.0,low
137,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,85000.0,low
138,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,65000.0,low
139,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,138784.0,mid
140,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,83270.0,low
141,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,75000.0,low
142,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,70000.0,low
143,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,204500.0,Top
144,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,138900.0,mid
145,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Machine Learning,318300.0,Top
146,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Machine Learning,212200.0,Top
147,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,95000.0,low
148,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,75000.0,low
149,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,195000.0,Top
150,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,160000.0,high
151,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,230000.0,Top
152,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,143200.0,high
153,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,100000.0,low
154,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,70000.0,low
155,Mid/Intermediate level,Full-time,North America,Half-Remote,North America,LARGE,Data Engineering,105000.0,mid
156,Mid/Intermediate level,Full-time,Asia,Full-Remote,Asia,LARGE,Other,20670.0,low
157,Mid/Intermediate level,Full-time,Europe,On-Site,Europe,MEDIUM,Data Engineering,46178.0,low
158,Mid/Intermediate level,Full-time,Europe,On-Site,Europe,MEDIUM,Data Engineering,42533.0,low
159,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
160,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,115000.0,mid
161,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,168400.0,high
162,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,105200.0,mid
163,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,309400.0,Top
164,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,159100.0,high
165,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,190000.0,Top
166,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,150000.0,high
167,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,162500.0,high
168,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,130000.0,mid
169,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,150000.0,high
170,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,120000.0,mid
171,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
172,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,120000.0,mid
173,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,222200.0,Top
174,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,136000.0,mid
175,Senior,Full-time,Africa,Full-Remote,Africa,MEDIUM,Data Engineering,54685.0,low
176,Senior,Full-time,Africa,Full-Remote,Africa,MEDIUM,Data Engineering,42533.0,low
177,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,241000.0,Top
178,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,155000.0,high
179,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,220000.0,Top
180,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,190000.0,Top
181,Mid/Intermediate level,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,66837.0,low
182,Mid/Intermediate level,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,54685.0,low
183,Executive level,Full-time,Africa,On-Site,North America,MEDIUM,Other,16931.552647499997,low
184,Mid/Intermediate level,Full-time,Europe,Full-Remote,Europe,MEDIUM,Other,85066.0,low
185,Mid/Intermediate level,Full-time,Europe,Full-Remote,Europe,MEDIUM,Other,57723.0,low
186,Entry level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,85000.0,low
187,Entry level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,75000.0,low
188,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,160000.0,high
189,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,140000.0,high
190,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,300000.0,Top
191,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,250000.0,Top
192,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,228000.0,Top
193,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,186000.0,Top
194,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,190000.0,Top
195,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,170000.0,high
196,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Other,230000.0,Top
197,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Other,200000.0,Top
198,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,180000.0,high
199,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,115000.0,mid
200,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,200000.0,Top
201,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Architecture,115000.0,mid
202,Senior,Full-time,Europe,Half-Remote,Europe,SMALL,Other,53654.0,low
203,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,220000.0,Top
204,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,205000.0,Top
205,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,180000.0,high
206,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,130000.0,mid
207,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,200000.0,Top
208,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,150000.0,high
209,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,215000.0,Top
210,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,170000.0,high
211,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,247500.0,Top
212,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,172200.0,high
213,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,224000.0,Top
214,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,176000.0,high
215,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,120000.0,mid
216,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,75000.0,low
217,Entry level,Full-time,Asia,Full-Remote,Asia,LARGE,Data Engineering,17022.0,low
218,Senior,Full-time,Oceania,Full-Remote,Europe,MEDIUM,Other,68318.0,low
219,Mid/Intermediate level,Full-time,Europe,On-Site,Europe,MEDIUM,Other,75020.0,low
220,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,140000.0,high
221,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,120000.0,mid
222,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,128000.0,mid
223,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,81500.0,low
224,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
225,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,115000.0,mid
226,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,185000.0,Top
227,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,140000.0,high
228,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Other,329500.0,Top
229,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Other,269600.0,Top
230,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,100000.0,low
231,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,80000.0,low
232,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,250000.0,Top
233,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,162500.0,high
234,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Other,200000.0,Top
235,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
236,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,100000.0,low
237,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,145000.0,high
238,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,115000.0,mid
239,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,203500.0,Top
240,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,152000.0,high
241,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,239000.0,Top
242,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,122900.0,mid
243,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,237000.0,Top
244,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,145000.0,high
245,Senior,Full-time,North America,On-Site,North America,MEDIUM,Management,191765.0,Top
246,Senior,Full-time,North America,On-Site,North America,MEDIUM,Management,134236.0,mid
247,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,190000.0,Top
248,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,112000.0,mid
249,Senior,Full-time,Europe,Full-Remote,Europe,LARGE,Data Science,96022.528,low
250,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,85000.0,low
251,Entry level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,65000.0,low
252,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,135000.0,mid
253,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,105500.0,mid
254,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,293000.0,Top
255,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,185000.0,Top
256,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,80000.0,low
257,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,70000.0,low
258,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,220000.0,Top
259,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,160000.0,high
260,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,175000.0,high
261,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,145000.0,high
262,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,200000.0,Top
263,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,148500.0,high
264,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,48289.0,low
265,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Data Science,38631.0,low
266,Senior,Full-time,North America,On-Site,North America,LARGE,Data Engineering,240500.0,Top
267,Senior,Full-time,North America,On-Site,North America,LARGE,Data Engineering,123700.0,mid
268,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,152900.0,high
269,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,117100.0,mid
270,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,173000.0,high
271,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,113000.0,mid
272,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,260000.0,Top
273,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,136000.0,mid
274,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,175000.0,high
275,Executive level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,110000.0,mid
276,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,260000.0,Top
277,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,136000.0,mid
278,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,130000.0,mid
279,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,110000.0,mid
280,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,205000.0,Top
281,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,184000.0,Top
282,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,149500.0,high
283,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,127075.0,mid
284,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,195000.0,Top
285,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,160000.0,high
286,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,219535.0,Top
287,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,146115.0,high
288,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,170000.0,high
289,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,135000.0,mid
290,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,175000.0,high
291,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,145000.0,high
292,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,199000.0,Top
293,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,162000.0,high
294,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,222200.0,Top
295,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,136000.0,mid
296,Executive level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,221000.0,Top
297,Executive level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,153000.0,high
298,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,187000.0,Top
299,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,128000.0,mid
300,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,210000.0,Top
301,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,136000.0,mid
302,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,175000.0,high
303,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,100000.0,low
304,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,179000.0,high
305,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,109000.0,mid
306,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,245000.0,Top
307,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,180000.0,high
308,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,142000.0,high
309,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,75000.0,low
310,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,198800.0,Top
311,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,105200.0,mid
312,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,125000.0,mid
313,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,112000.0,mid
314,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,210000.0,Top
315,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,155000.0,high
